Load Report FULLS IN;;;;;;;;;;;;;;;;;;;;;;;;;
Steering partner name;Business case;Freight mode;Load ID;Leg number;Transport end [date time];Transport mode;Transport order ID;Carrier company name;;Consignor location name;Recipient location name;Truck plate number;Trailer plate number;;Driver name;Driver contact;1st status in process;Pickup [date];Pickup times;Delivery [date];Delivery times;Handling unit quantity (TO);Current status name (TO);Current status name (Load);
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240348;1;12.08.2015 05:00;FTL;VE01995649;97213980 - Waberer's International Zrt.;48;14242 |  TEKNIA MANRESA S.L.U;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 09:40;07.08.2015;06:00 - 13:00;12.08.2015;04:00 - 05:00;20;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239390;1;06.08.2015 19:00;LTL;10014496;670331 - Ghibli Szállítmányozási Kft.;48;635433 | OSAR Srl;3000 | Robert Bosch Energy and Body Systems Kft.;MVW-721;XYZ-192;0;;;31.07.2015 09:45;03.08.2015;08:00 - 16:00;06.08.2015;18:00 - 19:00;16;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239353;1;07.08.2015 05:00;FTL;VE01975026;97213980 - Waberer's International Zrt.;48;14242 |  TEKNIA MANRESA S.L.U;3000 | Robert Bosch Energy and Body Systems Kft.;MWC453;XZZ367;0;;;31.07.2015 09:36;03.08.2015;08:00 - 16:00;07.08.2015;04:00 - 05:00;13;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240443;2;07.08.2015 15:00;FTL;VE01975330;97303889 - EKOL Logistics Kft.;48;36025 | Robert Bosch Espa?a Gasoline Systems, S.A.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;31.07.2015 10:34;03.08.2015;15:45 - 16:15;07.08.2015;10:00 - 15:00;4;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;VE01984281;123261 - LGI Logistics Group International GmbH.;48;45698 | Häseler Metall Technik GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;03.08.2015 07:36;04.08.2015;14:00 - 16:00;06.08.2015;00:00 - 04:00;4;delivered;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01984064;123261 - LGI Logistics Group International GmbH.;48;234 | Richard Bergner Verbindungstechnik GmbH&CoKG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 10:34;04.08.2015;07:00 - 16:00;07.08.2015;00:00 - 04:00;2;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239461;1;07.08.2015 01:00;MR;10014545;97213980 - Waberer's International Zrt.;48;97204397 | Altcam Valls , S.L.U;3000 | Robert Bosch Energy and Body Systems Kft.;MWV962;WAG912;0;;;31.07.2015 10:59;03.08.2015;10:00 - 11:00;07.08.2015;00:00 - 01:00;24;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240314;2;08.08.2015 02:00;HUB;VE01984119;123261 - LGI Logistics Group International GmbH.;48;86734 | Aspel VG Plastics;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 11:01;04.08.2015;08:00 - 16:00;08.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240039;2;07.08.2015 06:00;HUB;VE01984409;123261 - LGI Logistics Group International GmbH.;48;13972 | Prinz Verbindungselemente GmbH;97311161 | Europa Center Miskolc Uzleti es L. P.;MTT864;RZD239;0;;;03.08.2015 11:04;05.08.2015;06:00 - 13:00;08.08.2015;05:00 - 06:00;25;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01984079;123261 - LGI Logistics Group International GmbH.;48;961-01 | Teckentrup GmbH und Co KG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 08:06;04.08.2015;09:00 - 15:00;07.08.2015;00:00 - 04:00;4;Goods Issue handling location;Load assigned;13
